order,family,subfamily,genus,subgenus,species,spauthor,year_described,common_name,gaa_name,syn1,syn2,syn3,syn4,syn5,syn6,itis_names,iucn,isocc,Genus_species,Tympanic.membrane,Tympanic.annulus,Columella,Collapsed_SVL,Microhabitat,Source,alt_mean,alt_min,alt_max,latitude_mean,latitude_min,latitude_max,mean_temp,min_temp,max_temp,df,ActiveTime,ear
Anura,Arthroleptidae,,Leptopelis,,mossambicus,"Poynton, 1985",1985,English: Mozambique Tree Frog; Zulu: Isele lasezihlahleni elinsundua,Leptopelis mossambicus,,NA,NA,NA,NA,NA,,Least Concern (LC),"MW,MZ,ZA,SZ,ZW",Leptopelis_mossambicus,1,1,1,NA,NA,NA,357.9615385,32,691,-25.72239231,-28.35,-22.68333,216.1923077,195,233,1261,__,Y
Anura,Arthroleptidae,,Leptopelis,,vermiculatus,"(Boulenger, 1909)",NA,,Leptopelis vermiculatus,,NA,NA,NA,NA,NA,,Endangered (EN),TZ,Leptopelis_vermiculatus,1,1,1,85,arboreal,AmphibiaWeb 2016,1073.5,209,2678,-5.759316667,-9.13333,-4.95,210.1666667,152,246,1500,__,Y
Anura,Arthroleptidae,,Nyctibates,,corrugatus,"Boulenger, 1904",NA,,Nyctibates corrugatus,,NA,NA,NA,NA,NA,,Least Concern (LC),"CM,GQ,GA,NG",Nyctibates_corrugatus,0,1,1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Arthroleptidae,,Scotobleps,,gabonicus,"Boulenger, 1900",NA,,Scotobleps gabonicus,,NA,NA,NA,NA,NA,,Least Concern (LC),"CM,CG,CD,GQ,GA,NG",Scotobleps_gabonicus,1,1,1,70,NA,NA,402.4166667,22,720,3.342932778,0.44549,5.36628,242.9444444,217,261,NA,__,Y
Anura,Arthroleptidae,,Trichobatrachus,,robustus,"Boulenger, 1900",1900,Hairy Frog,Trichobatrachus robustus,,NA,NA,NA,NA,NA,,Least Concern (LC),"AO,CM,CG,CD,GQ,GA,NG",Trichobatrachus_robustus,0,1,1,130,terrestrial,AmphibiaWeb 2016,598.56,22,1466,3.8108096,-4.81763,4.9867,229.16,183,261,NA,__,Y
Anura,Ascaphidae,,Ascaphus,,truei,"Stejneger, 1899",1899,"Pacific Tailed Frog, Coastal Tailed Frog, Western Tailed Frog",Ascaphus truei,,NA,NA,NA,NA,NA,,Least Concern (LC),"US,CA",Ascaphus_truei,0,0,0,50,semi.aquatic,IUCN 2014,785.4652778,2,4275,45.64405192,39.60617231,52.383,70.48275862,-71,124,NA,__N,N
Anura,Batrachylidae,,Atelognathus,,nitoi,"(Barrio, 1973)",NA,,Atelognathus nitoi,Atelognathus_salai,_Atelognathus_ceii,NA,NA,NA,NA,,Vulnerable (VU),AR,Atelognathus_nitoi,0inf,0inf,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Batrachylidae,,Atelognathus,,patagonicus,"(Gallardo, 1962)",NA,Patagonia Frog,Atelognathus patagonicus,Telmatobius_patagonicus,NA,NA,NA,NA,NA,Telmatobius patagonicus,Critically Endangered (CR),AR,Atelognathus_patagonicus,0inf,0inf,0,50,semi.aquatic,IUCN 2014,1449,1449,1449,-39.13,-39.13,-39.13,86,86,86,NA,__,N
Anura,Batrachylidae,,Atelognathus,,praebasalticus,"(Cei & Roig, 1968)",NA,,Atelognathus praebasalticus,Telmatobius_praebasalticus,NA,NA,NA,NA,NA,Telmatobius praebasalticus,Endangered (EN),AR,Atelognathus_praebasalticus,0inf,0inf,0,NA,terrestrial,IUCN 2014,1352.8,1283,1449,-39.091894,-39.13,-39.05,88.4,86,90,NA,__,N
Anura,Batrachylidae,,Atelognathus,,reverberii,"(Cei, 1969)",NA,,Atelognathus reverberii,Telmatobius_reverberii,NA,NA,NA,NA,NA,Telmatobius reverberii,Vulnerable (VU),AR,Atelognathus_reverberii,0inf,0inf,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Batrachylidae,,Atelognathus,,solitarius,"(Cei, 1970)",NA,,Atelognathus solitarius,,NA,NA,NA,NA,NA,,Data Deficient (DD),AR,Atelognathus_solitarius,0inf,0inf,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Batrachylidae,,Batrachyla,,leptopus,"Bell, 1843",NA,,Batrachyla leptopus,,NA,NA,NA,NA,NA,,Least Concern (LC),"CL,AR",Batrachyla_leptopus,1,1,1,32.5,terrestrial,IUCN 2014,603.8965517,0,1590,-41.26152931,-45.11944,-39.4333,83.62068966,44,117,2445,__,Y
Anura,Batrachylidae,,Chaltenobatrachus,,grandisonae,"(Lynch, 1975)",NA,Puerto Eden Frog,Chaltenobatrachus grandisonae,,NA,NA,NA,NA,NA,,Least Concern (LC),"AR,CL",Chaltenobatrachus_grandisonae,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
